audienceType,name,categorySummary,summary
"Crafted Audience","Pumpkin Carving Researchers","Lifestyle > Activities > Pumpkin Carving Researchers","People researching tips and techniques for Halloween pumpkin carving projects."
"Crafted Audience","Puppy and Dog Adopters","Lifestyle > Lifestage > Family > Puppy and Dog Adopters","People researching animal shelters and organizations for puppy and dog adoptions."
"Location Audience","Pure-Barre","Points of interest > Health > Fitness Clubs > Pure-Barre","People in this audience have recently visited a Pure-Barre location."
"Crafted Audience","Puzzle Enthusiasts","Lifestyle > Activities > Puzzle Enthusiasts","People joining puzzle communities and playing puzzle and card games online."
"Location Audience","Qdoba","Points of interest > Restaurants > QSR > Qdoba","People in this audience have recently visited a Qdoba location."
"Crafted Audience","Quads and ATV Enthusiasts","Consumer > Auto > Quads and ATV Enthusiasts","People researching brands and comparing quads and ATV vehicles. These consumers are more likely to spend money on a new or used ATVs."
"Location Audience","Quality Inn","Points of interest > Travel > Hotels > Quality Inn","People in this audience have recently visited a Quality Inn location."
"Content Cluster","Quebec Hunting & Outdoors Cluster","Content Clusters > Quebec Hunting & Outdoors Cluster","People in this audience are interested in a variety of content related to the Canadian Province of Quebec."
"Content Cluster","Quebec Job Seeker Cluster","Content Clusters > Quebec Job Seeker Cluster","People in this audience are interested in a variety of content related to the Canadian Province of Quebec."
"Content Cluster","Quebec Real Estate","Content Clusters > Quebec Real Estate","People in this audience are interested in Quebec real estate and mortgages."
"Content Cluster","Quebec Vacation Research Cluster","Content Clusters > Quebec Vacation Research Cluster","People in this audience are interested in a variety of content related to the Canadian Province of Quebec."
"Content Cluster","Quebec Vacations","Content Clusters > Quebec Vacations","People in this audience are interested in vacation information about the Canadian Province of Quebec."
"Crafted Audience","Quilting Enthusiasts","Lifestyle > Activities > Quilting Enthusiasts","People looking for quilting inspiration and purchasing equipment."
"Content Cluster","Quinceanera Planning","Content Clusters > Quinceanera Planning","People in this audience are interested in planning for Quinceanera celebrations."
"Location Audience","Quiznos","Points of interest > Restaurants > QSR > Quiznos","People in this audience have recently visited a Quiznos location."
"Content Cluster","Quotes & Inspiration","Content Clusters > Quotes & Inspiration","People in this audience are interested in quotes and inspirational sayings."
"Crafted Audience","RC Helicopters and Drones Hobbyists","Lifestyle > Activities > RC Helicopters and Drones Hobbyists","People researching drone techniques and shopping for equipment."
"Location Audience","REI","Points of interest > Retail > Apparel > REI","People in this audience have recently visited a REI location."
"Content Cluster","RPG & MMO Video Game Fans","Content Clusters > RPG & MMO Video Game Fans","People in this audience are interested in video game forums."
"Content Cluster","RPG Games","Content Clusters > RPG Games","People in this audience are interested in online games."
"Crafted Audience","RV Owners and Upgraders","Consumer > Auto > RV Owners and Upgraders","Consumers shopping for parts and accessories to outfit their motorhome or camper."
"Crafted Audience","RV Shoppers","Consumer > Auto > RV Shoppers","People researching and comparing recreational vehicles and campers. These consumers are more likely to spend money on a new or used RV."
"Location Audience","Rack Room Shoes","Points of interest > Retail > Footwear > Rack Room Shoes","People in this audience have recently visited a Rack Room Shoes location."
"Location Audience","Radisson","Points of interest > Travel > Hotels > Radisson","People in this audience have recently visited a Radisson location."
"Location Audience","Raleys","Points of interest > Retail > Grocery > Raleys","People in this audience have recently visited a Raleys location."
"Location Audience","Rallys Drive-In","Points of interest > Restaurants > QSR > Rallys Drive-In","People in this audience have recently visited a Rallys Drive-In location."
"Location Audience","Ralph Lauren","Points of interest > Retail > Apparel > Ralph Lauren","People in this audience have recently visited a Ralph Lauren location."
"Location Audience","Ralphs","Points of interest > Retail > Grocery > Ralphs","People in this audience have recently visited a Ralphs location."
"Location Audience","Ramada","Points of interest > Travel > Hotels > Ramada","People in this audience have recently visited a Ramada location."
"Crafted Audience","Rapid City Trip Planners","Consumer > Travel > Rapid City Trip Planners","People researching attractions and accommodations in Rapid City. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Crafted Audience","Readers of Arabic Content","Consumer > Media > Readers of Arabic Content","People reading news from Arabic media sources."
"Crafted Audience","Readers of Belizean Content","Consumer > Media > Readers of Belizean Content","People reading news from Belizean media sources."
"Crafted Audience","Readers of Bengali Content","Consumer > Media > Readers of Bengali Content","People reading news from Bengali media sources."
"Crafted Audience","Readers of Caribbean Content","Consumer > Media > Readers of Caribbean Content","People reading news from Caribbean media sources."
"Crafted Audience","Readers of Catholic News","Consumer > Media > Readers of Catholic News","People reading news about the Muslim faith."
"Crafted Audience","Readers of Chinese Content","Consumer > Media > Readers of Chinese Content","People reading news from Chinese media sources."
"Crafted Audience","Readers of Colombian Content","Consumer > Media > Readers of Colombian Content","People reading news from Colombian media sources."
"Crafted Audience","Readers of Costa Rican Content","Consumer > Media > Readers of Costa Rican Content","People reading news from Costa Rican media sources."
"Crafted Audience","Readers of Cuban Content","Consumer > Media > Readers of Cuban Content","People reading news from Cuban media sources."
"Crafted Audience","Readers of Dominican Republic Content","Consumer > Media > Readers of Dominican Republic Content","People reading news from Dominican Republic media sources."
"Crafted Audience","Readers of El Salvadoran Content","Consumer > Media > Readers of El Salvadoran Content","People reading news from El Salvadoran media sources."
"Crafted Audience","Readers of Filipinos Content","Consumer > Media > Readers of Filipinos Content","People reading news from Filipino media sources."
"Crafted Audience","Readers of Greek Content","Consumer > Media > Readers of Greek Content","People reading news from Greek media sources."
"Crafted Audience","Readers of Guatemalan Content","Consumer > Media > Readers of Guatemalan Content","People reading news from Guatemalan media sources."
"Crafted Audience","Readers of Hispanic Content","Consumer > Media > Readers of Hispanic Content","People reading news from Hispanic media sources."
"Crafted Audience","Readers of Honduran Content","Consumer > Media > Readers of Honduran Content","People reading news from Honduran media sources."
"Crafted Audience","Readers of Indian Content","Consumer > Media > Readers of Indian Content","People reading news from Indian media sources."
"Crafted Audience","Readers of Italian Content","Consumer > Media > Readers of Italian Content","People reading news from Italian media sources."
"Crafted Audience","Readers of Jamaican Content","Consumer > Media > Readers of Jamaican Content","People reading news from Jamaican media sources."
"Crafted Audience","Readers of Japanese Content","Consumer > Media > Readers of Japanese Content","People reading news from Japanese media sources."
"Crafted Audience","Readers of Jewish News","Consumer > Media > Readers of Jewish News","People reading news about the Jewish faith."
"Crafted Audience","Readers of Malayalam Content","Consumer > Media > Readers of Malayalam Content","People reading news from Malayalam media sources."
"Crafted Audience","Readers of Mexican Content","Consumer > Media > Readers of Mexican Content","People reading news from Mexican media sources."
"Crafted Audience","Readers of Nicaraguan Content","Consumer > Media > Readers of Nicaraguan Content","People reading news from Nicaraguan media sources."
"Crafted Audience","Readers of Pakistani Content","Consumer > Media > Readers of Pakistani Content","People reading news from Pakistani media sources."
"Crafted Audience","Readers of Panamanian Content","Consumer > Media > Readers of Panamanian Content","People reading news from Panamanian media sources."
"Crafted Audience","Readers of Portuguese Content","Consumer > Media > Readers of Portuguese Content","People reading news from Portuguese media sources."
"Crafted Audience","Readers of Puerto Rican Content","Consumer > Media > Readers of Puerto Rican Content","People reading news from Puerto Rican media sources."
"Crafted Audience","Readers of Russian Content","Consumer > Media > Readers of Russian Content","People reading news from Russian media sources."
"Crafted Audience","Readers of South American Content","Consumer > Media > Readers of South American Content","People reading news from South American media sources."
"Crafted Audience","Readers of South Asian Content","Consumer > Media > Readers of South Asian Content","People reading news from South Asian media sources."
"Crafted Audience","Readers of Spanish Content","Consumer > Media > Readers of Spanish Content","People reading news from Spanish media sources."
"Crafted Audience","Readers of Tamil Content","Consumer > Media > Readers of Tamil Content","People reading news from Tamil media sources."
"Crafted Audience","Readers of Telugu Content","Consumer > Media > Readers of Telugu Content","People reading news from Telug media sources."
"Location Audience","Real Estate Brokers","Points of interest > Services > Real Estate Brokers > Real Estate Brokers","People in this audience have recently visited a Real Estate Brokers location."
"Content Cluster","Real Estate Cluster","Content Clusters > Real Estate Cluster","People in this audience are interested in a variety of content related to real estate."
"Crafted Audience","Real Estate Decision Makers","Consumer > B2B > Real Estate Decision Makers","Professionals reading industry news and trends on real estate."
"Crafted Audience","Reality TV Show Watchers","Consumer > Media > Reality TV Show Watchers","Consumers watching and reading about popular reality TV shows."
"Crafted Audience","Realtors & Real Estate Researchers","Lifestyle > Occupation > Realtors & Real Estate Researchers","Consumers and professionals researching the newest real estate listings."
"Crafted Audience","Recently Retired Individuals","Lifestyle > Lifestage > Recently Retired Individuals","People coordinating and researching retirement activities and lifestyle."
"Content Cluster","Recipe Hunters","Content Clusters > Recipe Hunters","People in this audience are interested in a variety of content about cooking."
"Crafted Audience","Recipe Researchers","Consumer > CPG > Food > Recipe Researchers","People researching recipes for at home cooking and entertaining."
"Content Cluster","Recreational Motor Sport Enthusiasts","Content Clusters > Recreational Motor Sport Enthusiasts","People in this audience are interested in motorcycles, motocross, and bike accessories."
"Crafted Audience","Recreational Sports Participants","Lifestyle > Activities > Sports > Recreational Sports Participants","People registering for recreational sports leagues and programs for adults and kids."
"Content Cluster","Recreational Vehicles","Content Clusters > Recreational Vehicles","People in this audience are interested in recreational vehicles, including trailers, motorhomes, and camping."
"Location Audience","Red Lobster","Points of interest > Restaurants > Casual Restaurants > Red Lobster","People in this audience have recently visited a Red Lobster location."
"Location Audience","Red Robin","Points of interest > Restaurants > Casual Restaurants > Red Robin","People in this audience have recently visited a Red Robin location."
"Location Audience","Red Roof Inn","Points of interest > Travel > Hotels > Red Roof Inn","People in this audience have recently visited a Red Roof Inn location."
"Location Audience","Reebok","Points of interest > Retail > Sporting > Reebok","People in this audience have recently visited a Reebok location"
"Location Audience","Regal Entertainment","Points of interest > Entertainment > Movies > Regal Entertainment","People in this audience have recently visited a Regal Entertainment location."
"Crafted Audience","Reggaeton Fans","Consumer > Media > Music > Reggaeton Fans","People reading about reggaeton music and culture."
"Content Cluster","Religion & Politics","Content Clusters > Religion & Politics","People in this audience are interested in religion and politics."
"Location Audience","Remax","Points of interest > Services > Real Estate Brokers > Remax","People in this audience have recently visited a Remax location."
"Location Audience","Renaissance","Points of interest > Travel > Hotels > Renaissance","People in this audience have recently visited a Renaissance location."
"Location Audience","Rent-A-Center","Points of interest > Retail > Home > Rent-A-Center","People in this audience have recently visited a Rent-A-Center location."
"Content Cluster","Reproductive Health","Content Clusters > Reproductive Health","People in this audience are interested in reproductive health, teen health, and women's health."
"Crafted Audience","Reptile Enthusiasts","Lifestyle > Activities > Reptile Enthusiasts","People reading about reptiles and shopping for pet products and services."
"Crafted Audience","Republicans","Lifestyle > Political > Republicans","People reading Republican party advocacy websites."
"Location Audience","Residence Inn","Points of interest > Travel > Hotels > Residence Inn","People in this audience have recently visited a Residence Inn location."
"Crafted Audience","Respirologists and Pulmonologists","Lifestyle > Occupation > Respirologists and Pulmonologists","Professionals reading industry news and researching products and services for respirologists and pulmonologists."
"Location Audience","Restaurant Depot","Consumer > CPG > Food > Restaurant Depot","People in this audience have recently visited a Restaurant Depot location"
"Crafted Audience","Restaurant Menu Researchers","Consumer > General Consumer > Restaurant Menu Researchers","Consumers researching menus for local and chain restaurants."
"Crafted Audience","Restaurant News Readers","Consumer > Media > Restaurant News Readers","Professionals reading industry news and researching products and services for restaurants."
"Crafted Audience","Restaurant Researchers","Lifestyle > Activities > Restaurant Researchers","Consumers researching local restaurant reviews."
"Location Audience","Restaurant Supplier","Consumer > CPG > Food > Restaurant Supplier","Restaurant Supplier parent tag"
"Crafted Audience","Restaurant Supply Shoppers","Lifestyle > Occupation > Restaurant Supply Shoppers","Consumers comparing and shopping for wholesale restaurant food and supplies."
"Location Audience","Restoration Hardware","Points of interest > Retail > Home > Restoration Hardware","People in this audience have recently visited a Restoration Hardware location."
"Content Cluster","Retail Industry News","Content Clusters > Retail Industry News","People in this audience are interested in news about the retail industry."
"Crafted Audience","Retired Assisted Living Shoppers","Lifestyle > Lifestage > Elderly > Retired Assisted Living Shoppers","Retired people shopping for assisted living."
"Crafted Audience","Retired Budget Healthcare Shoppers","Consumer > Healthcare > Retired Budget Healthcare Shoppers","Retired people shopping for discount healthcare."
"Crafted Audience","Retired Government Employees","Lifestyle > Lifestage > Elderly > Retired Government Employees","Retired people who were government employees."
"Crafted Audience","Retired Health Insurance Researchers","Consumer > Healthcare > Retired Health Insurance Researchers","Retired people researching health insurance options."
"Crafted Audience","Retired Wealthy Assisted Living Researchers","Consumer > Healthcare > Retired Wealthy Assisted Living Researchers","Retired wealthy people researching assisted living options."
"Crafted Audience","Retirees","Lifestyle > Lifestage > Elderly > Retirees","People using online retirement discount and health benefits services."
"Crafted Audience","Retirement Financial Account Researchers","Consumer > Financial Services > Retirement Financial Account Researchers","People researching retirement financial accounts"
"Crafted Audience","Retirement Planners","Lifestyle > Lifestage > Elderly > Retirement Planners","People researching retirement living options."
"Location Audience","Retro Fitness","Points of interest > Health > Fitness Clubs > Retro Fitness","People in this audience have recently visited a Retro Fitness location."
"Crafted Audience","Reusable Drinkware Shoppers","Consumer > General Consumer > Reusable Drinkware Shoppers","Consumers comparing and shopping for reusable water bottles. These consumers are more likely to spend money on sustainable products."
"Crafted Audience","Revolutionary War History Buffs","Lifestyle > Activities > Revolutionary War History Buffs","People reading about the history of the American Revolutionary War."
"Content Cluster","Rhode Island Cluster","Content Clusters > Rhode Island Cluster","People in this audience are interested in a variety of content related to the City of Providence and State of Rhode Island."
"Location Audience","Ricker's","Points of interest > Auto > Gas Stations > Ricker's","People in this audience have recently visited a Ricker's location."
"Crafted Audience","Ride Share Drivers","Lifestyle > Occupation > Ride Share Drivers","Professionals reading industry news and researching products and services for ride share drivers."
"Crafted Audience","Rideshare App Users","Consumer > General Consumer > Rideshare App Users",""
"Content Cluster","Right Wing Blogs - Conspiracy Theories","Content Clusters > Right Wing Blogs - Conspiracy Theories","People in this audience are interested in right wing blogs."
"Content Cluster","Right Wing Blogs - Political Activism","Content Clusters > Right Wing Blogs - Political Activism","People in this audience are interested in right wing blogs."
"Content Cluster","Right Wing Blogs - Pro-gun & Pro-life","Content Clusters > Right Wing Blogs - Pro-gun & Pro-life","People in this audience are interested in right wing blogs, with content that is pro-gun, pro-life, and emphasizing patriotism."
"Crafted Audience","Right Wing Radicals","Lifestyle > Political > Right Wing Radicals","The \"Oathkeepers\" movement."
"Location Audience","Rite Aid","Points of interest > Retail > Convenience/Drug > Rite Aid","People in this audience have recently visited a Rite Aid location."
"Location Audience","Ritz Carlton","Points of interest > Travel > Hotels > Ritz Carlton","People in this audience have recently visited a Ritz Carlton location."
"Content Cluster","Robotics","Content Clusters > Robotics","People in this audience are interested in robotics, circuitry, mass manufacturing, and cybernetics."
"Content Cluster","Rochester New York Cluster","Content Clusters > Rochester New York Cluster","People in this audience are interested in news and sports related to Rochester and Buffalo (New York)."
"Crafted Audience","Rock Climbing Enthusiasts","Lifestyle > Activities > Sports > Rock Climbing Enthusiasts","People researching rock climbing and purchasing equipment and apparel."
"Crafted Audience","Rodeo Enthusiasts","Consumer > Media > Sports Fans > Rodeo Enthusiasts","People researching and planning to attend local rodeos."
"Content Cluster","Roleplay & Fantasy Games","Content Clusters > Roleplay & Fantasy Games","People in this audience are interested in roleplay and fantasy games."
"Crafted Audience","Romance Movie and TV enthusiasts","Consumer > Media > Romance Movie and TV enthusiasts","Consumers researching popular romance movies and TV shows."
"Content Cluster","Romanian News","Content Clusters > Romanian News","People in this audience are interested in news related to Romania."
"Crafted Audience","Romantics","Lifestyle > Activities > Romantics","People reading about romance and researching ideas for planning romantic moments."
"Crafted Audience","Rome Trip Planners","Consumer > Travel > Rome Trip Planners","People researching attractions and accommodations in Rome. These consumers are more likely to spend money on travel and local attractions."
"Location Audience","Room and Board","Points of interest > Retail > Home > Room and Board","People in this audience have recently visited a Room and Board location."
"Crafted Audience","Roommate Seekers","Lifestyle > Lifestage > Moving > Roommate Seekers","People active on roommate finder sites."
"Location Audience","Ross","Points of interest > Retail > Department Stores > Ross","People in this audience have recently visited a Ross location."
"Location Audience","Roti","Points of interest > Restaurants > QSR > Roti","People in this audience have recently visited a Roti location."
"Content Cluster","Routers, Switches & Networking","Content Clusters > Routers, Switches & Networking","People in this audience are interested in routers, switches, and networking."
"Crafted Audience","Rowing Enthusiasts","Lifestyle > Activities > Sports > Rowing Enthusiasts","People researching rowing and purchasing equipment and apparel."
"Location Audience","Roy's Hawaiian Fusion","Points of interest > Restaurants > Casual Restaurants > Roy's Hawaiian Fusion","People in this audience have recently visited a Roy's Hawaiian Fusion location."
"Location Audience","Rubio's Fresh Mexican Grill","Points of interest > Restaurants > Casual Restaurants > Rubio's Fresh Mexican Grill","People in this audience have recently visited a Rubio's Fresh Mexican Grill location."
"Location Audience","Ruby Tuesday","Points of interest > Restaurants > Casual Restaurants > Ruby Tuesday","People in this audience have recently visited a Ruby Tuesday location."
"Crafted Audience","Rugby Fans","Consumer > Media > Sports Fans > Rugby Fans","People reading about rugby news and watching games. These consumers are more likely to spend money on team gear and rugby equipment."
"Content Cluster","Running & Marathons","Content Clusters > Running & Marathons","People in this audience are interested in running, triathlons, and races."
"Crafted Audience","Running Enthusiasts","Lifestyle > Activities > Sports > Running Enthusiasts","Consumers who read online publications about running."
"Content Cluster","Rural Living","Content Clusters > Rural Living","People in this audience are interested in rural living, including farming and hunting."
"Content Cluster","Russia Cluster","Content Clusters > Russia Cluster","People in this audience are interested in a variety of content related to Russia."
"Crafted Audience","Russia Trip Planners","Consumer > Travel > Russia Trip Planners","People researching attractions and accommodations in Russia. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Location Audience","Ruths Chris Steak House","Points of interest > Restaurants > Casual Restaurants > Ruths Chris Steak House","People in this audience have recently visited a Ruths Chris Steak House location"
"Crafted Audience","SEC Fans","Consumer > Media > Sports Fans > SEC Fans","Fans of SEC"
"Crafted Audience","SEO Specialists","Lifestyle > Occupation > SEO Specialists","Professionals specializing in search engine optimization strategies."
"Crafted Audience","SMB Commercial Insurance Researchers","Consumer > B2B > SMB Commercial Insurance Researchers","Professionals researching commercial insurance products."
"Location Audience","Safeway","Points of interest > Retail > Grocery > Safeway","People in this audience have recently visited a Safeway location."
"Crafted Audience","Sailing Enthusiasts","Lifestyle > Activities > Sailing Enthusiasts","People reading sailing news and destinations."
"Location Audience","Saint Laurent Paris","Points of interest > Retail > Apparel > Saint Laurent Paris","People in this audience have recently visited a Saint Laurent Paris location."
"Location Audience","Saks Fifth Avenue","Points of interest > Retail > Department Stores > Saks Fifth Avenue","People in this audience have recently visited a Saks Fifth Avenue location."
"Crafted Audience","Sale Seekers","Consumer > Retail > Sale Seekers","Consumers researching sales events and special offers."
"Location Audience","Sally Beauty Supply","Points of interest > Retail > Beauty > Sally Beauty Supply","People in this audience have recently visited a Sally Beauty Supply location."
"Crafted Audience","Salvation Army Supporters","Consumer > General Consumer > Salvation Army Supporters","People researching ways to support and volunteer at the Salvation Army."
"Location Audience","Sams Club","Points of interest > Retail > Big Box > Sams Club","People in this audience have recently visited a Sams Club location."
"Location Audience","Samuels Jewelers","Points of interest > Retail > Jewelry > Samuels Jewelers","People in this audience have recently visited a Samuels Jewelers location."
"Crafted Audience","San Antonio Spurs Fans","Consumer > Media > Sports Fans > San Antonio Spurs Fans","People reading news about the San Antonio Spurs and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","San Diego Activities Researchers","Lifestyle > Activities > San Diego Activities Researchers","People researching San Diego activities"
"Content Cluster","San Diego Cluster","Content Clusters > San Diego Cluster","People in this audience are interested in a variety of content related to San Diego California."
"Crafted Audience","San Diego Events Researchers","Lifestyle > Activities > San Diego Events Researchers","People researching San Diego events"
"Crafted Audience","San Diego Trip Planners","Consumer > Travel > San Diego Trip Planners","People researching attractions and accommodations in San Diego. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Crafted Audience","San Francisco 49ers Fans","Consumer > Media > Sports Fans > San Francisco 49ers Fans","People reading news about the San Francisco 49ers and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","San Francisco Activities Researchers","Lifestyle > Activities > San Francisco Activities Researchers","People researching San Francisco activities"
"Content Cluster","San Francisco Bay Area Cluster","Content Clusters > San Francisco Bay Area Cluster","People in this audience are interested in a variety of content related to the San Francisco Bay area."
"Crafted Audience","San Francisco Giants Fans","Consumer > Media > Sports Fans > San Francisco Giants Fans","Fans of San Francisco Giants"
"Content Cluster","San Francisco Tourism","Content Clusters > San Francisco Tourism","People in this audience are interested in travel and attractions in San Francisco California."
"Crafted Audience","San Francisco Trip Planners","Consumer > Travel > San Francisco Trip Planners","Consumers in-market for San Francisco trips and vacations."
"Crafted Audience","Santa Cruz Trip Planners","Consumer > Travel > Santa Cruz Trip Planners","People researching attractions and accommodations in Santa Cruz. These consumers are more likely to spend money on travel and local attractions."
"Crafted Audience","Santa Monica Trip Planners","Consumer > Travel > Santa Monica Trip Planners","People researching attractions and accommodations in Santa Monica. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Location Audience","Sapp Bros","Points of interest > Auto > Gas Stations > Sapp Bros","People in this audience have recently visited a Sapp Bros location"
"Content Cluster","Saskatchewan Media & Retail Cluster","Content Clusters > Saskatchewan Media & Retail Cluster","People in this audience are interested in Canadian media and retail content."
"Crafted Audience","Satellite TV Buyers","Consumer > Telecom > Satellite TV Buyers","Consumers in-market for satellite television."
"Content Cluster","Savannah Georgia News","Content Clusters > Savannah Georgia News","People in this audience are interested in Savannah Georgia news."
"Location Audience","Save A Lot Supermarkets","Points of interest > Retail > Grocery > Save A Lot Supermarkets","People in this audience have recently visited a Save A Lot Supermarkets location."
"Location Audience","Save Mart","Points of interest > Retail > Grocery > Save Mart","People in this audience have recently visited a Save Mart location."
"Location Audience","Schnucks Markets","Points of interest > Retail > Grocery > Schnucks Markets","People in this audience have recently visited a Schnucks Markets location."
"Content Cluster","School Curriculum","Content Clusters > School Curriculum","People in this audience are interested in education, teacher resources, school research, and school curriculum."
"Crafted Audience","School Supply Shoppers","Consumer > General Consumer > School Supply Shoppers","Consumers shopping for classroom supplies for K-12 students."
"Crafted Audience","Sci-Fi Movie Fans","Consumer > Media > Sci-Fi Movie Fans","People who love watching and reading articles about Sci-fi movies."
"Crafted Audience","Sci-Fi Show Watchers","Consumer > Media > Sci-Fi Show Watchers","Consumers watching and reading about popular sci-fi television shows."
"Content Cluster","Science & Technology","Content Clusters > Science & Technology","People in this audience are interested in news related to science and technology, including physics and space."
"Content Cluster","Science Education & Academia","Content Clusters > Science Education & Academia","People in this audience are interested in scientific information and reference content."
"Content Cluster","Science Education & Resources","Content Clusters > Science Education & Resources","People in this audience are interested in scientific information and reference content."
"Content Cluster","Scientology","Content Clusters > Scientology","People in this audience are interested in Scientology and L. Ron Hubbard."
"Crafted Audience","Scifi Movie and TV Enthusiasts","Consumer > Media > Scifi Movie and TV Enthusiasts","Consumers researching popular scifi movies and TV shows."
"Content Cluster","Scotland Travel","Content Clusters > Scotland Travel","People in this audience are interested in Scotland, including hotels and tours."
"Location Audience","Scottrade","Points of interest > Finance > Personal Finance > Scottrade","People in this audience have recently visited a Scottrade location."
"Crafted Audience","Scrabble Players","Lifestyle > Activities > Scrabble Players","Consumers using resources and tools to play Scrabble."
"Content Cluster","Scrapbooking & Home Art Projects","Content Clusters > Scrapbooking & Home Art Projects","People in this audience are interested in arts & crafts, scrapbooking, and home art projects."
"Crafted Audience","Scrubs Uniforms Shoppers","Consumer > Retail > Apparel > Scrubs Uniforms Shoppers","Consumers shopping for scrubs and other medical uniforms."
"Content Cluster","Scuba Diving","Content Clusters > Scuba Diving","People in this audience are interested in scuba diving and underwater photography."
"Crafted Audience","Scuba Diving Enthusiasts","Lifestyle > Activities > Sports > Scuba Diving Enthusiasts","People reading about scuba diving news and destinations."
"Crafted Audience","Sea World Park Trip Planners","Lifestyle > Activities > Sea World Park Trip Planners","People researching Sea World parks and planning a visit."
"Crafted Audience","Seasonal Allergy Sufferers","Consumer > Healthcare > Seasonal Allergy Sufferers","People researching allergy trends and treatment options."
"Location Audience","Seasons 52","Points of interest > Restaurants > Casual Restaurants > Seasons 52","People in this audience have recently visited a Seasons 52 location."
"Crafted Audience","Seattle Seahawks Fans","Consumer > Media > Sports Fans > Seattle Seahawks Fans","People reading news about the Seattle Seahawks and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Seattle Trip Planners","Consumer > Travel > Seattle Trip Planners","Consumers in-market for Seattle trips and vacations."
"Crafted Audience","Self Storage Shoppers","Lifestyle > Lifestage > Moving > Self Storage Shoppers","People in-market for self-storage and moving related products and services."
"Content Cluster","Senior Care","Content Clusters > Senior Care","People in this audience are interested in senior care and nursing homes."
"Crafted Audience","Senior Caregivers","Lifestyle > Occupation > Senior Caregivers","Professionals reading healthcare industry news focused on senior citizens."
"Crafted Audience","Senior Living Center Researchers","Lifestyle > Lifestage > Elderly > Senior Living Center Researchers","People researching senior living centers and comparing services and facilities."
"Location Audience","Sephora","Points of interest > Retail > Beauty > Sephora","People in this audience have recently visited a Sephora location."
"Content Cluster","Serbia & Albania Cluster","Content Clusters > Serbia & Albania Cluster","People in this audience are interested in a variety of content related to Serbia and Albania."
"Content Cluster","Seventh-day Adventist Church","Content Clusters > Seventh-day Adventist Church","People in this audience are interested in content about the Seventh-day Adventist Church."
"Crafted Audience","Sewing Enthusiasts","Lifestyle > Activities > Sewing Enthusiasts","People looking for sewing inspiration and purchasing equipment."
"Content Cluster","Sewing, Embroidery & Fabrics","Content Clusters > Sewing, Embroidery & Fabrics","People in this audience are interested in fabric, embroidery, sewing, and threads."
"Content Cluster","Sewing, Embroidery & Quilting","Content Clusters > Sewing, Embroidery & Quilting","People in this audience are interested in sewing, embroidery, quilting, and stitching."
"Location Audience","Shake Shack","Points of interest > Restaurants > Casual Restaurants > Shake Shack","People in this audience have recently visited a Shake Shack location."
"Crafted Audience","Shapewear & Leggings Shoppers","Consumer > Retail > Apparel > Shapewear & Leggings Shoppers","Consumers shopping for leggings and shapewear apparel."
"Crafted Audience","Shared Work Space Researchers","Lifestyle > Occupation > Shared Work Space Researchers","People researching locations for shared work spaces."
"Location Audience","Shaws Markets","Points of interest > Retail > Grocery > Shaws Markets","People in this audience have recently visited a Shaws Markets location."
"Location Audience","Sheetz","Points of interest > Retail > Convenience/Drug > Sheetz","People in this audience have recently visited a Sheetz location."
"Location Audience","Shell","Points of interest > Auto > Gas Stations > Shell","People in this audience have recently visited a Shell location."
"Location Audience","Sheraton","Points of interest > Travel > Hotels > Sheraton","People in this audience have recently visited a Sheraton location."
"Location Audience","Sherwin Williams","Points of interest > Retail > Home Maintenance > Sherwin Williams","People in this audience have recently visited a Sherwin Williams location."
"Content Cluster","Shipping & Logistics","Content Clusters > Shipping & Logistics","People in this audience are interested in shipping, logistics, supply chain, and transportation technology."
"Location Audience","Shoe Carnival","Points of interest > Retail > Footwear > Shoe Carnival","People in this audience have recently visited a Shoe Carnival location."
"Crafted Audience","Shoe Shoppers","Consumer > Retail > Apparel > Shoe Shoppers","Consumers shopping for mass market shoes."
"Content Cluster","Shoes & Accessories","Content Clusters > Shoes & Accessories","People in this audience are interested in shoes and accessories."
"Location Audience","Shooting Ranges","Points of interest > Sports > Venues > Shooting Ranges","People in this audience have recently visited a Shooting Ranges location."
"Location Audience","Shop n Save","Points of interest > Retail > Grocery > Shop n Save","People in this audience have recently visited a Shop n Save location."
"Location Audience","ShopRite Markets","Points of interest > Retail > Grocery > ShopRite Markets","People in this audience have recently visited a ShopRite Markets location."
"Content Cluster","Shopping Catalogs","Content Clusters > Shopping Catalogs","People in this audience are interested in shopping catalogs."
"Crafted Audience","Sightseeing Travelers","Consumer > Travel > Sightseeing Travelers","Consumers reading online reviews of local attractions and tours."
"Location Audience","Sinclair Oil","Points of interest > Auto > Gas Stations > Sinclair Oil","People in this audience have recently visited a Sinclair Oil location."
"Crafted Audience","Sinus Researchers","Consumer > Healthcare > Pharma > Sinus Researchers","People researching sinus condition trends and treatment options."
"Location Audience","Sizzler","Points of interest > Restaurants > Casual Restaurants > Sizzler","People in this audience have recently visited a Sizzler location."
